Distance [m];Tid [s];Latitude;Longitude;IRI(1);IRI(17); HÃ¸jde [m]; Geoide hÃ¸jde [m]; DOP; Satellitter; Fixtype; GPStid; Metode; Vcar [rad]
1420.000000000; 68.414120000; 56.132046583; 8.871995389; 0.657609167; 0.614786712; 41.400001526; 42.200000763; 0.600000024; 17; 2; 112417.000000000; 0; -0.422861725
1430.000000000; 68.817210000; 56.132129020; 8.871929482; 0.941500889; 0.933041394; 41.400001526; 42.200000763; 0.600000024; 17; 2; 112417.000000000; 0; -0.415416569
1440.000000000; 69.220370000; 56.132211731; 8.871864683; 1.325998885; 1.524598967; 41.400001526; 42.200000763; 0.600000024; 17; 2; 112417.000000000; 0; -0.408088654
1450.000000000; 69.623480000; 56.132294729; 8.871800878; 1.017691911; 1.409086128; 41.500000000; 42.200000763; 0.600000024; 17; 2; 112418.000000000; 0; -0.400349319
1460.000000000; 70.026610000; 56.132377991; 8.871738237; 0.816416260; 0.962000612; 41.500000000; 42.200000763; 0.600000024; 17; 2; 112418.000000000; 0; -0.393663615
1470.000000000; 70.429680000; 56.132461446; 8.871676531; 0.680901438; 0.834274540; 41.599998474; 42.200000763; 0.600000024; 17; 2; 112419.000000000; 0; -0.384231955
1480.000000000; 70.832600000; 56.132544513; 8.871616772; 1.119409169; 1.276077699; 41.599998474; 42.200000763; 0.600000024; 17; 2; 112419.000000000; 0; -0.378222764
1490.000000000; 71.235130000; 56.132627810; 8.871558053; 1.280014332; 1.541888791; 41.599998474; 42.200000763; 0.600000024; 17; 2; 112419.000000000; 0; -0.370184451
1500.000000000; 71.633830000; 56.132710967; 8.871500972; 1.190432305; 1.641449109; 41.599998474; 42.200000763; 0.600000024; 17; 2; 112420.000000000; 0; -0.359539598
1510.000000000; 72.036490000; 56.132795529; 8.871444526; 0.974129613; 1.619736494; 41.599998474; 42.200000763; 0.600000024; 17; 2; 112420.000000000; 0; -0.353234500
1520.000000000; 72.439480000; 56.132880240; 8.871388745; 0.663103336; 0.771539233; 41.500000000; 42.200000763; 0.600000024; 17; 2; 112421.000000000; 0; -0.354338139
1530.000000000; 72.842760000; 56.132964808; 8.871333098; 0.645413995; 0.580344051; 41.500000000; 42.200000763; 0.600000024; 17; 2; 112421.000000000; 0; -0.348670900
